LanePointX,LanePointY
-1.381974,-3.300000
-1.115962,-3.300000
-0.848959,-3.300000
-0.597258,-3.300000
-0.344678,-3.300000
-0.094698,-3.300000
0.172020,-3.300000
0.437031,-3.300000
0.704255,-3.300000
0.968746,-3.300000
1.230427,-3.300000
1.497434,-3.300000
1.757726,-3.300000
2.015555,-3.300000
2.284732,-3.300000
2.553668,-3.300000
2.811618,-3.300000
3.090857,-3.300000
3.347341,-3.300000
3.619333,-3.300000
3.906945,-3.300000
4.210057,-3.300000
4.474485,-3.300000
4.750141,-3.300000
5.036345,-3.300000
5.333776,-3.300000
5.641449,-3.300000
5.895642,-3.300000
6.156853,-3.300000
6.425182,-3.300000
6.700163,-3.300000
6.982301,-3.300000
7.270665,-3.300000
7.566493,-3.300000
7.869074,-3.300000
8.178931,-3.300000
8.495442,-3.300000
8.819009,-3.300000
9.149431,-3.300000
9.402048,-3.300000
9.657166,-3.300000
9.916386,-3.300000
10.177377,-3.300000
10.442188,-3.300000
10.707883,-3.300000
10.977073,-3.300000
11.247315,-3.300000
11.519987,-3.300000
11.793209,-3.300000
12.068539,-3.300000
12.343991,-3.300000
12.620771,-3.300000
12.897518,-3.300000
13.175458,-3.300000
13.451752,-3.300000
13.729253,-3.300000
14.006318,-3.300000
14.284705,-3.300000
14.561786,-3.300000
14.839950,-3.300000
15.116896,-3.300000
15.394580,-3.300000
15.671290,-3.300000
15.948875,-3.300000
16.225200,-3.300000
16.502413,-3.300000
16.778277,-3.300000
17.054987,-3.300000
17.330988,-3.300000
17.608000,-3.300000
17.883205,-3.300000
18.159796,-3.300000
18.435158,-3.300000
18.712336,-3.300000
18.989699,-3.300000
19.269305,-3.300000
19.550055,-3.300000
19.833755,-3.300000
20.119547,-3.300000
20.409060,-3.300000
20.701358,-3.300000
20.998398,-3.300000
21.298285,-3.300000
21.602993,-3.300000
21.910702,-3.300000
22.223585,-3.300000
22.538608,-3.300000
22.859222,-3.300000
23.182042,-3.300000
23.510082,-3.300000
23.840802,-3.300000
24.177713,-3.300000
24.515359,-3.300000
24.859160,-3.300000
25.205481,-3.300000
25.556910,-3.300000
25.910971,-3.300000
26.269925,-3.300000
26.632012,-3.300000
26.998730,-3.300000
27.368519,-3.300000
27.742876,-3.300000
27.994211,-3.300000
28.245783,-3.300000
28.499990,-3.300000
28.754502,-3.300000
29.010626,-3.300000
29.268107,-3.300000
29.525443,-3.300000
29.785161,-3.300000
30.045236,-3.300000
30.305487,-3.300000
